,peak_index,population,intensity,channel,file_name
143,68,26,16594.921875,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
144,73,15,17815.13671875,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
145,77,8,18791.30859375,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
146,79,10,19279.39453125,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
147,83,7,20255.56640625,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
148,86,6,20987.6953125,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
149,88,7,21475.78125,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
150,93,10,22695.99609375,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
151,97,5,23672.16796875,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
152,100,6,24404.296875,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
153,102,4,24892.3828125,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
154,106,3,25868.5546875,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
155,108,3,26356.640625,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
156,110,4,26844.7265625,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
157,112,2,27332.8125,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
158,116,4,28308.984375,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
159,124,3,30261.328125,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
160,127,2,30993.45703125,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
161,131,3,31969.62890625,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
162,135,3,32945.80078125,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
163,139,2,33921.97265625,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
164,142,3,34654.1015625,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
165,145,2,35386.23046875,3,./image_sets/Yuang-MDA-MB-231-Cells-HighSNR/channels\1bf24fd2-3346-429c-8774-e86157f3af2f_processed_image_3.png
